Date,Petrol (USD),Diesel (USD),,,,,,,
07-03-2005,81.16,85.64,,,,,,,
14-03-2005,81.64,86.11,,,,,,,
21-03-2005,82.70,87.06,,,,,,,
28-03-2005,83.40,87.68,,,,,,,
04-04-2005,83.91,88.30,,,,,,,
11-04-2005,85.61,89.82,,,,,,,
18-04-2005,85.63,89.80,,,,,,,
25-04-2005,85.51,89.62,,,,,,,
02-05-2005,85.44,89.30,,,,,,,
09-05-2005,85.36,89.46,,,,,,,
16-05-2005,85.27,89.40,,,,,,,
23-05-2005,84.77,89.00,,,,,,,
30-05-2005,84.18,88.39,,,,,,,
06-06-2005,84.01,88.23,,,,,,,
13-06-2005,84.99,88.96,,,,,,,
20-06-2005,85.52,89.54,,,,,,,
27-06-2005,86.73,90.27,,,,,,,
04-07-2005,87.49,91.00,,,,,,,
11-07-2005,87.73,91.89,,,,,,,
18-07-2005,88.55,92.67,,,,,,,
25-07-2005,89.00,93.03,,,,,,,
01-08-2005,89.25,93.26,,,,,,,
08-08-2005,89.67,93.63,,,,,,,
15-08-2005,90.56,94.50,,,,,,,
22-08-2005,90.77,94.68,,,,,,,
29-08-2005,91.42,95.33,,,,,,,
05-09-2005,94.37,97.19,,,,,,,
12-09-2005,95.07,97.89,,,,,,,
19-09-2005,94.41,97.32,,,,,,,
26-09-2005,93.33,96.27,,,,,,,
03-10-2005,93.51,96.61,,,,,,,
10-10-2005,94.25,97.05,,,,,,,
17-10-2005,94.14,97.00,,,,,,,
24-10-2005,93.47,96.80,,,,,,,
31-10-2005,92.79,96.57,,,,,,,
07-11-2005,92.47,96.59,,,,,,,
14-11-2005,90.53,94.92,,,,,,,
21-11-2005,88.61,93.22,,,,,,,
28-11-2005,87.35,91.80,,,,,,,
05-12-2005,87.35,91.80,,,,,,,
12-12-2005,87.20,91.48,,,,,,,
19-12-2005,87.56,91.83,,,,,,,
26-12-2005,87.88,92.12,,,,,,,
02-01-2006,88.03,92.27,,,,,,,
09-01-2006,88.56,92.94,,,,,,,
16-01-2006,89.01,93.19,,,,,,,
23-01-2006,89.55,93.62,,,,,,,
30-01-2006,89.88,93.93,,,,,,,
06-02-2006,89.73,93.85,,,,,,,
13-02-2006,89.65,93.77,,,,,,,
20-02-2006,89.60,93.75,,,,,,,
27-02-2006,89.51,93.69,,,,,,,
06-03-2006,89.37,93.63,,,,,,,
13-03-2006,89.55,93.85,,,,,,,
20-03-2006,90.19,94.42,,,,,,,
27-03-2006,91.16,94.95,,,,,,,
03-04-2006,91.78,95.64,,,,,,,
10-04-2006,92.77,96.40,,,,,,,
18-04-2006,94.23,97.64,,,,,,,
24-04-2006,95.35,98.50,,,,,,,
01-05-2006,96.13,98.90,,,,,,,
08-05-2006,96.46,98.90,,,,,,,
15-05-2006,96.39,98.74,,,,,,,
22-05-2006,96.10,98.50,,,,,,,
29-05-2006,95.36,97.69,,,,,,,
05-06-2006,95.24,97.55,,,,,,,
12-06-2006,95.49,97.75,,,,,,,
19-06-2006,95.44,97.77,,,,,,,
26-06-2006,94.97,97.36,,,,,,,
03-07-2006,95.27,97.60,,,,,,,
10-07-2006,95.69,97.99,,,,,,,
17-07-2006,96.88,98.74,,,,,,,
24-07-2006,97.78,99.41,,,,,,,
31-07-2006,97.83,99.41,,,,,,,
07-08-2006,98.05,99.57,,,,,,,
14-08-2006,97.82,99.45,,,,,,,
21-08-2006,95.74,97.93,,,,,,,
28-08-2006,94.40,96.67,,,,,,,
04-09-2006,92.88,95.92,,,,,,,
11-09-2006,91.48,95.34,,,,,,,
18-09-2006,89.78,94.95,,,,,,,
25-09-2006,88.20,93.51,,,,,,,
02-10-2006,86.95,92.13,,,,,,,
09-10-2006,86.60,91.74,,,,,,,
16-10-2006,85.91,91.59,,,,,,,
23-10-2006,85.74,91.22,,,,,,,
30-10-2006,85.60,91.17,,,,,,,
06-11-2006,85.54,91.12,,,,,,,
13-11-2006,85.49,91.15,,,,,,,
20-11-2006,85.45,91.17,,,,,,,
27-11-2006,85.47,91.17,,,,,,,
04-12-2006,85.46,91.50,,,,,,,
11-12-2006,87.44,92.96,,,,,,,
18-12-2006,87.70,93.26,,,,,,,
25-12-2006,87.90,93.41,,,,,,,
